#x         X-corr 
1.50000025     2.713253975
1.50000045     6.46160841
1.50000065     4.808903217
1.50000085     2.124733686
1.50000105     6.573592663
1.50000125     4.921239376
1.50000145     1.190327406
1.50000165     0.3391986191
1.50000185     0.1661251783
1.50000205     0.146405831
1.50000225     0.2449905872
1.50000245     2.435242653
1.50000265     8.22360611
1.50000285     5.453382969
1.50000305     6.844507217
1.50000325     8.028522491
1.50000345     7.55897665
1.50000365     6.338349819
1.50000385     4.451325417
1.50000405     2.497489452
1.50000425     3.107929468
1.50000445     4.49929142
1.50000465     6.000414848
1.50000485     6.168409824
1.50000505     6.925148964
1.50000525     6.903004646
1.50000545     7.604768276
1.50000565     7.562709332
1.50000585     7.111045361
1.50000605     6.38811779
1.50000625     5.231277466
1.50000645     5.354008675
1.50000665     5.540474415
1.50000685     6.70950985
1.50000705     6.52499342
1.50000725     6.205482006
1.50000745     4.436740398
1.50000765     2.1152668
1.50000785     1.669433713
1.50000805     2.823304653
1.50000825     3.036292791
1.50000845     3.44387126
1.50000865     3.038444519
1.50000885     4.534957409
1.50000905     5.733034611
1.50000925     7.598436832
1.50000945     8.310371399
1.50000965     9.430519104
1.50000985     10.24880314
1.50001005     10.98419094
1.50001025     11.74005127
1.50001045     11.0005188
1.50001065     10.7461195
1.50001085     9.431225777
1.50001105     9.185995102
1.50001125     8.27314949
1.50001145     7.788397312
1.50001165     7.272516727
1.50001185     7.047409534
1.50001205     7.020659924
1.50001225     6.757799625
1.50001245     6.91381073
1.50001265     6.481384277
1.50001285     6.884640694
1.50001305     6.340927601
1.50001325     6.55446434
1.50001345     5.485182762
1.50001365     5.480566025
1.50001385     4.764533997
1.50001405     4.961584568
1.50001425     4.679486752
1.50001445     4.762075424
1.50001465     4.821074963
1.50001485     4.624597549
1.50001505     4.647114277
1.50001525     4.430418015
1.50001545     5.362582684
1.50001565     5.782328606
1.50001585     6.880983829
1.50001605     6.390078068
1.50001625     5.761698246
1.50001645     4.419919491
1.50001665     2.441909313
1.50001685     1.467411995
1.50001705     0.8553259373
1.50001725     0.9922428131
1.50001745     2.039376259
1.50001765     2.688020468
1.50001785     3.330616951
1.50001805     4.119277477
1.50001825     3.737564087
1.50001845     3.786553621
1.50001865     3.601921082
1.50001885     3.068171024
1.50001905     3.464823484
1.50001925     3.323523283
1.50001945     3.749548912
1.50001965     4.140184402
1.50001985     4.179175377
1.50002005     4.882356644
1.50002025     4.808368683
1.50002045     5.537988186
1.50002065     5.449228764
1.50002085     6.418630123
1.50002105     6.678464413
1.50002125     8.053752899
1.50002145     8.963887215
1.50002165     10.08734322
1.50002185     10.50591469
1.50002205     9.519780159
1.50002225     8.691562653
1.50002245     6.829025269
1.50002265     5.847884178
1.50002285     4.76032114
1.50002305     3.662113667
1.50002325     3.27225709
1.50002345     2.845102787
1.50002365     3.202377558
1.50002385     3.88978219
1.50002405     3.715586901
1.50002425     4.365375042
1.50002445     4.016493797
1.50002465     4.096343994
1.50002485     3.381228447
1.50002505     2.487435341
1.50002525     1.990951061
1.50002545     1.739316225
1.50002565     2.153498888
1.50002585     3.385797977
1.50002605     5.144721031
1.50002625     6.545569897
1.50002645     8.011617661
1.50002665     8.20873642
1.50002685     9.012637138
1.50002705     9.216209412
1.50002725     9.971008301
1.50002745     10.30458546
1.50002765     9.828658104
1.50002785     9.756360054
1.50002805     8.803912163
1.50002825     8.618925095
1.50002845     7.549773216
1.50002865     6.216122627
1.50002885     4.804677486
1.50002905     2.977348328
1.50002925     2.556355238
1.50002945     2.381025553
1.50002965     3.417845964
1.50002985     3.321600437
1.50003005     3.67846036
1.50003025     3.19263339
1.50003045     2.358002424
1.50003065     1.986088872
1.50003085     1.275147676
1.50003105     2.00154233
1.50003125     2.193462849
1.50003145     2.971645117
1.50003165     2.637444019
1.50003185     2.839827299
1.50003205     3.48248744
1.50003225     4.204852581
1.50003245     5.879944801
1.50003265     7.372222424
1.50003285     10.85871601
1.50003305     13.91010952
1.50003325     17.32716942
1.50003345     18.8101387
1.50003365     18.39218712
1.50003385     17.07059097
1.50003405     14.78373814
1.50003425     13.23408318
1.50003445     10.01097393
1.50003465     6.979320049
1.50003485     5.314529896
1.50003505     9.364840508
1.50003525     13.18033409
1.50003545     16.48128128
1.50003565     17.01935577
1.50003585     16.21319771
1.50003605     14.61081505
1.50003625     12.2878561
1.50003645     11.35649967
1.50003665     9.796068192
1.50003685     8.934017181
1.50003705     7.534077644
1.50003725     6.411344051
1.50003745     5.65912199
1.50003765     4.444473267
1.50003785     4.261734962
1.50003805     4.610164642
1.50003825     4.884313107
1.50003845     6.034724236
1.50003865     6.390982628
1.50003885     6.98510313
1.50003905     7.672956944
1.50003925     7.344257355
1.50003945     7.467327118
1.50003965     6.508175373
1.50003985     6.385387897
1.50004005     5.480587959
1.50004025     4.521375656
1.50004045     3.782772064
1.50004065     3.007175922
1.50004085     3.375401974
1.50004105     3.848955631
1.50004125     3.871943474
1.50004145     4.736610413
1.50004165     4.605190754
1.50004185     4.967912674
1.50004205     4.544371128
1.50004225     5.102100372
1.50004245     6.003661633
1.50004265     7.867146969
1.50004285     9.649047852
1.50004305     10.57373238
1.50004325     10.98360062
1.50004345     9.764147758
1.50004365     8.912920952
1.50004385     7.840456486
1.50004405     8.871876717
1.50004425     10.14583778
1.50004445     11.76979446
1.50004465     12.43723392
1.50004485     11.88800716
1.50004505     11.45686626
1.50004525     10.18037319
1.50004545     9.802124023
1.50004565     8.12197113
1.50004585     5.974295616
1.50004605     3.530893326
1.50004625     2.304312468
1.50004645     4.160974979
1.50004665     6.513376236
1.50004685     7.182821751
1.50004705     7.292179108
1.50004725     7.29751873
1.50004745     6.652458668
1.50004765     6.856331825
1.50004785     5.822515011
1.50004805     5.305369377
1.50004825     4.167430401
1.50004845     4.224180698
1.50004865     5.124842644
1.50004885     6.979776859
1.50004905     8.562506676
1.50004925     8.708981514
1.50004945     8.746498108
1.50004965     7.235569954
1.50004985     5.852873325
1.50005005     5.408921719
1.50005025     4.641521931
1.50005045     4.173136234
1.50005065     3.759830713
1.50005085     3.722384691
1.50005105     5.127757549
1.50005125     6.434677601
1.50005145     8.375864029
1.50005165     9.187590599
1.50005185     10.7195406
1.50005205     11.52221394
1.50005225     12.53682423
1.50005245     12.3188448
1.50005265     10.68068981
1.50005285     8.601403236
1.50005305     5.278922558
1.50005325     3.489556313
1.50005345     2.468544245
1.50005365     3.297451496
1.50005385     2.922201395
1.50005405     2.353292465
1.50005425     1.387398958
1.50005445     2.236298084
1.50005465     4.176278591
1.50005485     6.485952854
1.50005505     7.124743938
1.50005525     7.428276539
1.50005545     6.651675224
1.50005565     4.748282909
1.50005585     3.482680321
1.50005605     1.541719913
1.50005625     0.6824364662
1.50005645     1.142233849
1.50005665     3.735431194
1.50005685     6.433618546
1.50005705     10.30359364
1.50005725     12.95498276
1.50005745     14.83638859
1.50005765     15.44171524
1.50005785     14.61508179
1.50005805     14.25791264
1.50005825     12.98967171
1.50005845     12.43109608
1.50005865     10.49174213
1.50005885     8.914069176
1.50005905     7.177398205
1.50005925     6.469311237
1.50005945     6.085866451
1.50005965     5.537287712
1.50005985     4.72248745
1.50006005     2.758678913
1.50006025     1.456043363
1.50006045     1.773655176
1.50006065     3.007560492
1.50006085     3.742094278
1.50006105     4.739725113
1.50006125     5.182585239
1.50006145     6.659110069
1.50006165     7.100050449
1.50006185     7.411183834
1.50006205     6.691408157
1.50006225     4.903140545
1.50006245     3.638795614
1.50006265     1.720404625
1.50006285     0.9749448299
1.50006305     0.6644653082
1.50006325     0.2737551033
1.50006345     0.8492348194
1.50006365     0.7148479819
1.50006385     1.140841365
1.50006405     1.307183266
1.50006425     1.377192259
1.50006445     1.905445933
1.50006465     1.838546991
1.50006485     2.70222044
1.50006505     2.546288252
1.50006525     2.887993336
1.50006545     2.433264256
1.50006565     2.245362759
1.50006585     2.595312119
1.50006605     3.815925121
1.50006625     5.260469437
1.50006645     5.754490852
1.50006665     6.808382511
1.50006685     6.638962269
1.50006705     6.913939953
1.50006725     7.147172928
1.50006745     7.28431797
1.50006765     7.845444679
1.50006785     6.866723537
1.50006805     6.070572853
1.50006825     4.371520996
1.50006845     2.94225359
1.50006865     2.085105181
1.50006885     0.9796446562
1.50006905     1.248494744
1.50006925     1.910388708
1.50006945     2.46036315
1.50006965     3.805526733
1.50006985     4.403582573
1.50007005     5.92355442
1.50007025     6.735242844
1.50007045     8.456187248
1.50007065     9.30085659
1.50007085     9.706218719
1.50007105     9.323663712
1.50007125     7.773250103
1.50007145     7.080693722
1.50007165     5.633401394
1.50007185     5.236010075
1.50007205     4.324590206
1.50007225     3.800988674
1.50007245     3.753841639
1.50007265     3.391261101
1.50007285     4.128324032
1.50007305     4.550941944
1.50007325     4.944818497
1.50007345     5.944733143
1.50007365     5.78437376
1.50007385     6.724830627
1.50007405     6.703011513
1.50007425     7.051973343
1.50007445     7.083271503
1.50007465     9.633291245
1.50007485     14.68385983
1.50007505     21.01113129
1.50007525     26.12276459
1.50007545     27.91895676
1.50007565     27.06420517
1.50007585     22.76150894
1.50007605     18.34332275
1.50007625     14.44407177
1.50007645     12.38023758
1.50007665     11.30373192
1.50007685     10.06407833
1.50007705     9.406204224
1.50007725     7.773977757
1.50007745     6.957096577
1.50007765     5.306995869
1.50007785     4.392843723
1.50007805     2.9967556
1.50007825     1.548761606
1.50007845     0.7758781314
1.50007865     1.275885701
1.50007885     1.511419058
1.50007905     2.398529053
1.50007925     4.319096088
1.50007945     6.009884834
1.50007965     8.120173454
1.50007985     9.736618042
1.50008005     10.62013435
1.50008025     12.232481
1.50008045     13.05661774
1.50008065     14.21443462
1.50008085     14.09517002
1.50008105     13.56178284
1.50008125     13.48351383
1.50008145     12.89375496
1.50008165     13.00401402
1.50008185     11.61350632
1.50008205     9.890278816
1.50008225     7.934267044
1.50008245     5.207533836
1.50008265     3.525233269
1.50008285     1.868291497
1.50008305     1.417073965
1.50008325     1.482891321
1.50008345     1.564847589
1.50008365     2.586318254
1.50008385     3.441798925
1.50008405     4.968020439
1.50008425     6.41285944
1.50008445     6.712567329
1.50008465     7.429432392
1.50008485     7.004456043
1.50008505     7.321399689
1.50008525     7.852470398
1.50008545     9.410311699
1.50008565     11.37721825
1.50008585     12.51639748
1.50008605     13.69940567
1.50008625     13.17656136
1.50008645     13.25038624
1.50008665     13.04237652
1.50008685     13.40369511
1.50008705     13.66596603
1.50008725     12.40923595
1.50008745     11.22136211
1.50008765     9.193107605
1.50008785     8.178708076
1.50008805     7.348321915
1.50008825     6.96502924
1.50008845     7.211095333
1.50008865     7.005282879
1.50008885     7.740288258
1.50008905     7.657977581
1.50008925     7.51873827
1.50008945     7.412782192
1.50008965     6.456606865
1.50008985     6.608558178
1.50009005     6.278460979
1.50009025     6.203011036
1.50009045     5.931076527
1.50009065     4.540345192
1.50009085     3.637495518
1.50009105     2.21360445
1.50009125     1.116108656
1.50009145     1.886582375
1.50009165     3.08958292
1.50009185     4.433168888
1.50009205     5.963890553
1.50009225     6.078482628
1.50009245     6.574718475
1.50009265     6.325763702
1.50009285     6.495723724
1.50009305     6.827197552
1.50009325     6.416809559
1.50009345     6.488482952
1.50009365     5.485877514
1.50009385     4.804425716
1.50009405     4.243153095
1.50009425     3.281356096
1.50009445     2.920239449
1.50009465     1.620468974
1.50009485     0.5354223251
1.50009505     1.600005507
1.50009525     3.498906374
1.50009545     4.595450878
1.50009565     6.02203846
1.50009585     6.31221962
1.50009605     5.850509167
1.50009625     5.761697769
1.50009645     4.937711716
1.50009665     4.823048592
1.50009685     3.677916765
1.50009705     2.205207109
1.50009725     1.421055198
1.50009745     2.208647966
1.50009765     3.140018225
1.50009785     4.492549419
1.50009805     4.829437256
1.50009825     5.687335014
1.50009845     6.49070549
1.50009865     6.410571575
1.50009885     6.280286789
1.50009905     5.218481541
1.50009925     5.01732111
1.50009945     6.580626011
1.50009965     7.594426632
1.50009985     8.52294445
1.50010005     9.782420158
1.50010025     10.43709183
1.50010045     11.49198246
1.50010065     10.55945683
1.50010085     9.335540771
1.50010105     7.742357254
1.50010125     6.316380024
1.50010145     6.836794853
1.50010165     8.130158424
1.50010185     10.32410812
1.50010205     12.76912594
1.50010225     13.11008072
1.50010245     12.94060612
1.50010265     11.88745689
1.50010285     10.90651894
1.50010305     10.63844395
1.50010325     9.428038597
1.50010345     8.572723389
1.50010365     7.286699295
1.50010385     5.683047295
1.50010405     4.594917297
1.50010425     2.454376459
1.50010445     1.971204519
1.50010465     3.488588333
1.50010485     6.249538422
1.50010505     7.681093216
1.50010525     8.438812256
1.50010545     8.623935699
1.50010565     7.782348156
1.50010585     7.718573093
1.50010605     6.747591496
1.50010625     6.716900349
1.50010645     5.792403698
1.50010665     5.507404327
1.50010685     4.658742428
1.50010705     3.41462183
1.50010725     2.480489969
1.50010745     0.9303513765
1.50010765     0.6416896582
1.50010785     1.085334539
1.50010805     1.771261096
1.50010825     2.617432117
1.50010845     3.329811096
1.50010865     3.221029997
1.50010885     3.3264575
1.50010905     2.189869404
1.50010925     1.708625555
1.50010945     0.8070946932
1.50010965     1.846084356
1.50010985     2.784568787
1.50011005     5.540665627
1.50011025     7.890957355
1.50011045     10.84128952
1.50011065     12.46131039
1.50011085     12.45484638
1.50011105     11.49460125
1.50011125     8.932483673
1.50011145     7.189362526
1.50011165     5.125004292
1.50011185     4.213521957
1.50011205     6.497786522
1.50011225     9.952814102
1.50011245     13.05217457
1.50011265     14.99656773
1.50011285     14.12902737
1.50011305     12.03361034
1.50011325     9.247223854
1.50011345     6.272889614
1.50011365     4.862995625
1.50011385     3.124806166
1.50011405     2.5748384
1.50011425     1.370651245
1.50011445     0.6827613711
1.50011465     1.406412601
1.50011485     3.067532778
1.50011505     5.251137733
1.50011525     8.403981209
1.50011545     12.26920223
1.50011565     18.59517097
1.50011585     24.5655117
1.50011605     29.95029449
1.50011625     32.36472321
1.50011645     32.04171753
1.50011665     30.80605888
1.50011685     28.79790688
1.50011705     27.47380257
1.50011725     23.84524345
1.50011745     18.60733223
1.50011765     11.7980814
1.50011785     4.461686134
1.50011805     3.090746641
1.50011825     6.883808613
1.50011845     8.389343262
1.50011865     8.043857574
1.50011885     6.868793964
1.50011905     4.313724995
1.50011925     2.690044165
1.50011945     1.287449598
1.50011965     0.5700250864
1.50011985     1.378559709
1.50012005     1.752338767
1.50012025     2.245733738
1.50012045     2.31854105
1.50012065     2.717392445
1.50012085     4.486821175
1.50012105     6.962128162
1.50012125     10.35352135
1.50012145     12.23586369
1.50012165     13.65928078
1.50012185     13.15629768
1.50012205     11.62677288
1.50012225     10.52529335
1.50012245     9.288653374
1.50012265     9.709291458
1.50012285     10.48034859
1.50012305     10.92759514
1.50012325     11.01996994
1.50012345     8.888784409
1.50012365     6.432172775
1.50012385     3.265058756
1.50012405     2.911650181
1.50012425     4.444229126
1.50012445     6.922399044
1.50012465     9.0486269
1.50012485     11.98904896
1.50012505     14.70359325
1.50012525     15.89513588
1.50012545     15.77444839
1.50012565     12.76682281
1.50012585     9.14204216
1.50012605     4.953788757
1.50012625     1.768712044
1.50012645     0.9459016919
1.50012665     1.216340303
1.50012685     0.4458390772
1.50012705     1.538378954
1.50012725     3.180579662
1.50012745     5.182877541
1.50012765     5.583436489
1.50012785     5.710434437
1.50012805     4.118432999
1.50012825     1.885476112
1.50012845     0.7389036417
1.50012865     3.414546728
1.50012885     4.670691013
1.50012905     5.842256069
1.50012925     6.097805023
1.50012945     6.205394745
1.50012965     6.25218153
1.50012985     4.924577713
1.50013005     3.495427847
1.50013025     0.7204844356
1.50013045     1.746677637
1.50013065     4.037323952
1.50013085     5.903711796
1.50013105     7.535800457
1.50013125     9.781910896
1.50013145     10.95802402
1.50013165     11.88871765
1.50013185     11.13179874
1.50013205     10.28006458
1.50013225     9.365909576
1.50013245     8.810154915
1.50013265     9.54603672
1.50013285     10.00812435
1.50013305     11.47698402
1.50013325     12.05153942
1.50013345     13.51396656
1.50013365     14.93203926
1.50013385     16.88785744
1.50013405     18.3593235
1.50013425     17.74678421
1.50013445     15.99789906
1.50013465     11.94834137
1.50013485     7.847775936
1.50013505     4.41655159
1.50013525     1.502309561
1.50013545     1.073163986
1.50013565     1.924537778
1.50013585     2.263471603
1.50013605     3.418493032
1.50013625     3.79628253
1.50013645     4.806436539
1.50013665     5.455370426
1.50013685     5.737808704
1.50013705     5.726970196
1.50013725     4.694703102
1.50013745     4.377432346
1.50013765     3.777140379
1.50013785     4.595428944
1.50013805     4.704367161
1.50013825     5.340960503
1.50013845     4.383137703
1.50013865     3.247415543
1.50013885     1.461470962
1.50013905     1.0036695
1.50013925     2.112863779
1.50013945     4.50361824
1.50013965     6.475219727
1.50013985     9.408075333
1.50014005     11.02033806
1.50014025     11.72548199
1.50014045     11.41261578
1.50014065     9.92309761
1.50014085     9.254179955
1.50014105     7.606403351
1.50014125     6.086410999
1.50014145     3.891983747
1.50014165     2.092805386
1.50014185     3.395106316
1.50014205     5.032477856
1.50014225     5.506423473
1.50014245     6.433004856
1.50014265     6.735488415
1.50014285     7.352808952
1.50014305     7.538475513
1.50014325     6.760277271
1.50014345     6.054739952
1.50014365     4.22721529
1.50014385     3.662865877
1.50014405     3.501862049
1.50014425     4.5540452
1.50014445     5.078805447
1.50014465     5.348379135
1.50014485     5.509345055
1.50014505     5.039478302
1.50014525     5.252784252
1.50014545     4.64809227
1.50014565     4.661901474
1.50014585     3.789586306
1.50014605     2.827464342
1.50014625     2.164771318
1.50014645     1.038754344
1.50014665     1.063869238
1.50014685     0.9950881004
1.50014705     1.65453577
1.50014725     1.844635606
1.50014745     2.580593109
1.50014765     2.352876425
1.50014785     2.690948725
1.50014805     1.987794042
1.50014825     2.534727097
1.50014845     3.339357615
1.50014865     5.770021439
1.50014885     7.436869621
1.50014905     9.019763947
1.50014925     9.997906685
1.50014945     9.516515732
1.50014965     9.417338371
1.50014985     8.696564674
1.50015005     8.616100311
